Country,Date,Cases,Deaths,Summary,Bordering Countries
22,2010-10-17,1,0.0,"The LGA of Nguru in Yobe State has surpassed the alert threshold at week 40, with an attack rate of 6.4 cases per 100 000 inhabitants.","[19, 4, 3, 14, 15]"
23,2010-10-17,16,1.0,"The LGA of Nguru in Yobe State has surpassed the alert threshold at week 40, with an attack rate of 6.4 cases per 100 000 inhabitants.","[7, 1, 0, 8]"
0,2010-11-14,8,2.0,The LGA of Nguru in Yobe State (Nigeria) is no longer in alert threshold. Countries are encouraged to update data and improve their completeness and timeliness in reporting during the inter epidemic period. All zero cases should also be reported during the whole year.,"[23, 15, 14, 1]"
1,2010-11-14,90,8.0,The LGA of Nguru in Yobe State (Nigeria) is no longer in alert threshold. Countries are encouraged to update data and improve their completeness and timeliness in reporting during the inter epidemic period. All zero cases should also be reported during the whole year.,"[12, 14, 0, 23, 7, 5]"
4,2010-11-14,42,6.0,The LGA of Nguru in Yobe State (Nigeria) is no longer in alert threshold. Countries are encouraged to update data and improve their completeness and timeliness in reporting during the inter epidemic period. All zero cases should also be reported during the whole year.,"[3, 19, 18, 16, 22]"
5,2010-11-14,5,1.0,The LGA of Nguru in Yobe State (Nigeria) is no longer in alert threshold. Countries are encouraged to update data and improve their completeness and timeliness in reporting during the inter epidemic period. All zero cases should also be reported during the whole year.,"[7, 12, 1]"
7,2010-11-14,39,0.0,The LGA of Nguru in Yobe State (Nigeria) is no longer in alert threshold. Countries are encouraged to update data and improve their completeness and timeliness in reporting during the inter epidemic period. All zero cases should also be reported during the whole year.,"[8, 5, 1, 23]"
12,2010-11-14,13,0.0,The LGA of Nguru in Yobe State (Nigeria) is no longer in alert threshold. Countries are encouraged to update data and improve their completeness and timeliness in reporting during the inter epidemic period. All zero cases should also be reported during the whole year.,"[14, 1, 5, 8, 13, 17]"
14,2010-11-14,9,3.0,The LGA of Nguru in Yobe State (Nigeria) is no longer in alert threshold. Countries are encouraged to update data and improve their completeness and timeliness in reporting during the inter epidemic period. All zero cases should also be reported during the whole year.,"[0, 15, 1, 12, 22]"
15,2010-11-14,34,0.0,The LGA of Nguru in Yobe State (Nigeria) is no longer in alert threshold. Countries are encouraged to update data and improve their completeness and timeliness in reporting during the inter epidemic period. All zero cases should also be reported during the whole year.,"[0, 3, 14, 22]"
16,2010-11-14,459,46.0,The LGA of Nguru in Yobe State (Nigeria) is no longer in alert threshold. Countries are encouraged to update data and improve their completeness and timeliness in reporting during the inter epidemic period. All zero cases should also be reported during the whole year.,"[2, 4, 18, 21, 24]"
23,2010-11-14,9,1.0,The LGA of Nguru in Yobe State (Nigeria) is no longer in alert threshold. Countries are encouraged to update data and improve their completeness and timeliness in reporting during the inter epidemic period. All zero cases should also be reported during the whole year.,"[7, 1, 0, 8]"
0,2010-12-16,14,2.0,"The data of the end of 2010 show that the epidemiological situation has been calm in countries. However, the district of Sélingué, in Mali, has crossed the alert threshold at Week 51 with 4 cases and 0 death and an attack rate of 6.1 cases per 100 000 inhabitants. Note that the district has come back to the normal situation the following week. Countries should now strengthen the surveillance, and make sure that appropriate mechanisms are in place to respond to any epidemic. All the districts which have already introduced the MenAfriVac should start the case-based surveillance at the beginning of 2011.","[23, 15, 14, 1]"
1,2010-12-16,222,53.0,"The data of the end of 2010 show that the epidemiological situation has been calm in countries. However, the district of Sélingué, in Mali, has crossed the alert threshold at Week 51 with 4 cases and 0 death and an attack rate of 6.1 cases per 100 000 inhabitants. Note that the district has come back to the normal situation the following week. Countries should now strengthen the surveillance, and make sure that appropriate mechanisms are in place to respond to any epidemic. All the districts which have already introduced the MenAfriVac should start the case-based surveillance at the beginning of 2011.","[12, 14, 0, 23, 7, 5]"
3,2010-12-16,64,6.0,"The data of the end of 2010 show that the epidemiological situation has been calm in countries. However, the district of Sélingué, in Mali, has crossed the alert threshold at Week 51 with 4 cases and 0 death and an attack rate of 6.1 cases per 100 000 inhabitants. Note that the district has come back to the normal situation the following week. Countries should now strengthen the surveillance, and make sure that appropriate mechanisms are in place to respond to any epidemic. All the districts which have already introduced the MenAfriVac should start the case-based surveillance at the beginning of 2011.","[4, 15, 8, 22]"
4,2010-12-16,2,0.0,"The data of the end of 2010 show that the epidemiological situation has been calm in countries. However, the district of Sélingué, in Mali, has crossed the alert threshold at Week 51 with 4 cases and 0 death and an attack rate of 6.1 cases per 100 000 inhabitants. Note that the district has come back to the normal situation the following week. Countries should now strengthen the surveillance, and make sure that appropriate mechanisms are in place to respond to any epidemic. All the districts which have already introduced the MenAfriVac should start the case-based surveillance at the beginning of 2011.","[3, 19, 18, 16, 22]"
5,2010-12-16,0,0.0,"The data of the end of 2010 show that the epidemiological situation has been calm in countries. However, the district of Sélingué, in Mali, has crossed the alert threshold at Week 51 with 4 cases and 0 death and an attack rate of 6.1 cases per 100 000 inhabitants. Note that the district has come back to the normal situation the following week. Countries should now strengthen the surveillance, and make sure that appropriate mechanisms are in place to respond to any epidemic. All the districts which have already introduced the MenAfriVac should start the case-based surveillance at the beginning of 2011.","[7, 12, 1]"
7,2010-12-16,57,0.0,"The data of the end of 2010 show that the epidemiological situation has been calm in countries. However, the district of Sélingué, in Mali, has crossed the alert threshold at Week 51 with 4 cases and 0 death and an attack rate of 6.1 cases per 100 000 inhabitants. Note that the district has come back to the normal situation the following week. Countries should now strengthen the surveillance, and make sure that appropriate mechanisms are in place to respond to any epidemic. All the districts which have already introduced the MenAfriVac should start the case-based surveillance at the beginning of 2011.","[8, 5, 1, 23]"
12,2010-12-16,30,5.0,"The data of the end of 2010 show that the epidemiological situation has been calm in countries. However, the district of Sélingué, in Mali, has crossed the alert threshold at Week 51 with 4 cases and 0 death and an attack rate of 6.1 cases per 100 000 inhabitants. Note that the district has come back to the normal situation the following week. Countries should now strengthen the surveillance, and make sure that appropriate mechanisms are in place to respond to any epidemic. All the districts which have already introduced the MenAfriVac should start the case-based surveillance at the beginning of 2011.","[14, 1, 5, 8, 13, 17]"
14,2010-12-16,42,6.0,"The data of the end of 2010 show that the epidemiological situation has been calm in countries. However, the district of Sélingué, in Mali, has crossed the alert threshold at Week 51 with 4 cases and 0 death and an attack rate of 6.1 cases per 100 000 inhabitants. Note that the district has come back to the normal situation the following week. Countries should now strengthen the surveillance, and make sure that appropriate mechanisms are in place to respond to any epidemic. All the districts which have already introduced the MenAfriVac should start the case-based surveillance at the beginning of 2011.","[0, 15, 1, 12, 22]"
15,2010-12-16,23,2.0,"The data of the end of 2010 show that the epidemiological situation has been calm in countries. However, the district of Sélingué, in Mali, has crossed the alert threshold at Week 51 with 4 cases and 0 death and an attack rate of 6.1 cases per 100 000 inhabitants. Note that the district has come back to the normal situation the following week. Countries should now strengthen the surveillance, and make sure that appropriate mechanisms are in place to respond to any epidemic. All the districts which have already introduced the MenAfriVac should start the case-based surveillance at the beginning of 2011.","[0, 3, 14, 22]"
16,2010-12-16,905,88.0,"The data of the end of 2010 show that the epidemiological situation has been calm in countries. However, the district of Sélingué, in Mali, has crossed the alert threshold at Week 51 with 4 cases and 0 death and an attack rate of 6.1 cases per 100 000 inhabitants. Note that the district has come back to the normal situation the following week. Countries should now strengthen the surveillance, and make sure that appropriate mechanisms are in place to respond to any epidemic. All the districts which have already introduced the MenAfriVac should start the case-based surveillance at the beginning of 2011.","[2, 4, 18, 21, 24]"
22,2010-12-16,0,0.0,"The data of the end of 2010 show that the epidemiological situation has been calm in countries. However, the district of Sélingué, in Mali, has crossed the alert threshold at Week 51 with 4 cases and 0 death and an attack rate of 6.1 cases per 100 000 inhabitants. Note that the district has come back to the normal situation the following week. Countries should now strengthen the surveillance, and make sure that appropriate mechanisms are in place to respond to any epidemic. All the districts which have already introduced the MenAfriVac should start the case-based surveillance at the beginning of 2011.","[19, 4, 3, 14, 15]"
23,2010-12-16,45,5.0,"The data of the end of 2010 show that the epidemiological situation has been calm in countries. However, the district of Sélingué, in Mali, has crossed the alert threshold at Week 51 with 4 cases and 0 death and an attack rate of 6.1 cases per 100 000 inhabitants. Note that the district has come back to the normal situation the following week. Countries should now strengthen the surveillance, and make sure that appropriate mechanisms are in place to respond to any epidemic. All the districts which have already introduced the MenAfriVac should start the case-based surveillance at the beginning of 2011.","[7, 1, 0, 8]"
0,2011-01-03,188,42.0,"Burkina Faso: The district of Sapone is in alert with an attack rate of 5.3 cases per 100 000 inhabitants. The 3 CSF analyzed by the district laboratory revealed: 01 Gram Negative Bacillus (GNB) et 02 Gram Positive Diplococcus.  Ghana: the district of Lawra is in alert with an attack rate of 5.8 cases per 100 000 inhabitants. Chad: the district of Goundi is in alerte with an attack rate of 6.9 cases per 100 000 inhabitants. Out of 15 CSF samples, 12 pneumo were identified and 3 negative CSF.  Togo: the district of East-Mono is in alert with an attack rate of 7.7 cases per 100 000 Inhabitants.Burkina Faso : The district of Lena is in alert with an attack rate of 5.0. The 2 CSFs analysed by the laboratory are negative. Chad: The district of Laokassy has surpassed the epidemic threshold with an attack rate of 22.7 cases per 100 000 inhabitants. 14 NmA were identified out of the 27 CSF samples collected.Burkina Faso: The district of Sapone is in alert threshold with an AR of 5.3 cases per 100 000 inhabitants. Out of the 05 CSF samples obtained by the district, 4 are positive by latex (01 NmA and 03 Spn) and 1 negative. The case of NmA is under investigation. Chad: The district of Laokassy is still in epidemic threshold with an attack rate of 19.8 cases per 100 000 inhabitants. Niger: 1 case of NmA was identified in the districts of Tillaberi in an 11 years old person non vaccinated by “MenAfriVac”.No district is reported in epidemic threshold among countries that reported data this week. Between week 1 and 4, Burkina Faso reported 2 cases of meningitis caused by NmA:  1 case in a 4 years old children, non vaccinated, in the district of Saponé. 1 case in a 10 years old, vaccinated with MenAfriVac on 10 December 2010 in the district of Sapouy (investigation underway).Burkina Faso: The district of Sapone surpassed again the epidemic threshold with an attack rate of 6.4 cases.  Ghana: the district of Sissala-West surpassed the epidemic threshold with an attack rate of 6.3.  Chad: 2 districts have surpassed the epidemic threshold: Moundou with an AR of 11.2 and Laokassy, with an AR of 15.0 case per 100 000 inhabitants. Note that Laokassy was in epidemic threshold since week 2.","[23, 15, 14, 1]"
1,2011-01-03,421,75.0,"Burkina Faso: The district of Sapone is in alert with an attack rate of 5.3 cases per 100 000 inhabitants. The 3 CSF analyzed by the district laboratory revealed: 01 Gram Negative Bacillus (GNB) et 02 Gram Positive Diplococcus.  Ghana: the district of Lawra is in alert with an attack rate of 5.8 cases per 100 000 inhabitants. Chad: the district of Goundi is in alerte with an attack rate of 6.9 cases per 100 000 inhabitants. Out of 15 CSF samples, 12 pneumo were identified and 3 negative CSF.  Togo: the district of East-Mono is in alert with an attack rate of 7.7 cases per 100 000 Inhabitants.Burkina Faso : The district of Lena is in alert with an attack rate of 5.0. The 2 CSFs analysed by the laboratory are negative. Chad: The district of Laokassy has surpassed the epidemic threshold with an attack rate of 22.7 cases per 100 000 inhabitants. 14 NmA were identified out of the 27 CSF samples collected.Burkina Faso: The district of Sapone is in alert threshold with an AR of 5.3 cases per 100 000 inhabitants. Out of the 05 CSF samples obtained by the district, 4 are positive by latex (01 NmA and 03 Spn) and 1 negative. The case of NmA is under investigation. Chad: The district of Laokassy is still in epidemic threshold with an attack rate of 19.8 cases per 100 000 inhabitants. Niger: 1 case of NmA was identified in the districts of Tillaberi in an 11 years old person non vaccinated by “MenAfriVac”.No district is reported in epidemic threshold among countries that reported data this week. Between week 1 and 4, Burkina Faso reported 2 cases of meningitis caused by NmA:  1 case in a 4 years old children, non vaccinated, in the district of Saponé. 1 case in a 10 years old, vaccinated with MenAfriVac on 10 December 2010 in the district of Sapouy (investigation underway).Burkina Faso: The district of Sapone surpassed again the epidemic threshold with an attack rate of 6.4 cases.  Ghana: the district of Sissala-West surpassed the epidemic threshold with an attack rate of 6.3.  Chad: 2 districts have surpassed the epidemic threshold: Moundou with an AR of 11.2 and Laokassy, with an AR of 15.0 case per 100 000 inhabitants. Note that Laokassy was in epidemic threshold since week 2.","[12, 14, 0, 23, 7, 5]"
7,2011-01-03,101,17.0,"Burkina Faso: The district of Sapone is in alert with an attack rate of 5.3 cases per 100 000 inhabitants. The 3 CSF analyzed by the district laboratory revealed: 01 Gram Negative Bacillus (GNB) et 02 Gram Positive Diplococcus.  Ghana: the district of Lawra is in alert with an attack rate of 5.8 cases per 100 000 inhabitants. Chad: the district of Goundi is in alerte with an attack rate of 6.9 cases per 100 000 inhabitants. Out of 15 CSF samples, 12 pneumo were identified and 3 negative CSF.  Togo: the district of East-Mono is in alert with an attack rate of 7.7 cases per 100 000 Inhabitants.Burkina Faso : The district of Lena is in alert with an attack rate of 5.0. The 2 CSFs analysed by the laboratory are negative. Chad: The district of Laokassy has surpassed the epidemic threshold with an attack rate of 22.7 cases per 100 000 inhabitants. 14 NmA were identified out of the 27 CSF samples collected.Burkina Faso: The district of Sapone is in alert threshold with an AR of 5.3 cases per 100 000 inhabitants. Out of the 05 CSF samples obtained by the district, 4 are positive by latex (01 NmA and 03 Spn) and 1 negative. The case of NmA is under investigation. Chad: The district of Laokassy is still in epidemic threshold with an attack rate of 19.8 cases per 100 000 inhabitants. Niger: 1 case of NmA was identified in the districts of Tillaberi in an 11 years old person non vaccinated by “MenAfriVac”.Burkina Faso: The district of Sapone surpassed again the epidemic threshold with an attack rate of 6.4 cases.  Ghana: the district of Sissala-West surpassed the epidemic threshold with an attack rate of 6.3.  Chad: 2 districts have surpassed the epidemic threshold: Moundou with an AR of 11.2 and Laokassy, with an AR of 15.0 case per 100 000 inhabitants. Note that Laokassy was in epidemic threshold since week 2.","[8, 5, 1, 23]"
12,2011-01-03,41,3.0,"Burkina Faso: The district of Sapone is in alert with an attack rate of 5.3 cases per 100 000 inhabitants. The 3 CSF analyzed by the district laboratory revealed: 01 Gram Negative Bacillus (GNB) et 02 Gram Positive Diplococcus.  Ghana: the district of Lawra is in alert with an attack rate of 5.8 cases per 100 000 inhabitants. Chad: the district of Goundi is in alerte with an attack rate of 6.9 cases per 100 000 inhabitants. Out of 15 CSF samples, 12 pneumo were identified and 3 negative CSF.  Togo: the district of East-Mono is in alert with an attack rate of 7.7 cases per 100 000 Inhabitants.Burkina Faso: The district of Sapone is in alert threshold with an AR of 5.3 cases per 100 000 inhabitants. Out of the 05 CSF samples obtained by the district, 4 are positive by latex (01 NmA and 03 Spn) and 1 negative. The case of NmA is under investigation. Chad: The district of Laokassy is still in epidemic threshold with an attack rate of 19.8 cases per 100 000 inhabitants. Niger: 1 case of NmA was identified in the districts of Tillaberi in an 11 years old person non vaccinated by “MenAfriVac”.No district is reported in epidemic threshold among countries that reported data this week. Between week 1 and 4, Burkina Faso reported 2 cases of meningitis caused by NmA:  1 case in a 4 years old children, non vaccinated, in the district of Saponé. 1 case in a 10 years old, vaccinated with MenAfriVac on 10 December 2010 in the district of Sapouy (investigation underway).Burkina Faso: The district of Sapone surpassed again the epidemic threshold with an attack rate of 6.4 cases.  Ghana: the district of Sissala-West surpassed the epidemic threshold with an attack rate of 6.3.  Chad: 2 districts have surpassed the epidemic threshold: Moundou with an AR of 11.2 and Laokassy, with an AR of 15.0 case per 100 000 inhabitants. Note that Laokassy was in epidemic threshold since week 2.","[14, 1, 5, 8, 13, 17]"
14,2011-01-03,87,11.0,"Burkina Faso: The district of Sapone is in alert with an attack rate of 5.3 cases per 100 000 inhabitants. The 3 CSF analyzed by the district laboratory revealed: 01 Gram Negative Bacillus (GNB) et 02 Gram Positive Diplococcus.  Ghana: the district of Lawra is in alert with an attack rate of 5.8 cases per 100 000 inhabitants. Chad: the district of Goundi is in alerte with an attack rate of 6.9 cases per 100 000 inhabitants. Out of 15 CSF samples, 12 pneumo were identified and 3 negative CSF.  Togo: the district of East-Mono is in alert with an attack rate of 7.7 cases per 100 000 Inhabitants.Burkina Faso : The district of Lena is in alert with an attack rate of 5.0. The 2 CSFs analysed by the laboratory are negative. Chad: The district of Laokassy has surpassed the epidemic threshold with an attack rate of 22.7 cases per 100 000 inhabitants. 14 NmA were identified out of the 27 CSF samples collected.Burkina Faso: The district of Sapone is in alert threshold with an AR of 5.3 cases per 100 000 inhabitants. Out of the 05 CSF samples obtained by the district, 4 are positive by latex (01 NmA and 03 Spn) and 1 negative. The case of NmA is under investigation. Chad: The district of Laokassy is still in epidemic threshold with an attack rate of 19.8 cases per 100 000 inhabitants. Niger: 1 case of NmA was identified in the districts of Tillaberi in an 11 years old person non vaccinated by “MenAfriVac”.No district is reported in epidemic threshold among countries that reported data this week. Between week 1 and 4, Burkina Faso reported 2 cases of meningitis caused by NmA:  1 case in a 4 years old children, non vaccinated, in the district of Saponé. 1 case in a 10 years old, vaccinated with MenAfriVac on 10 December 2010 in the district of Sapouy (investigation underway).Burkina Faso: The district of Sapone surpassed again the epidemic threshold with an attack rate of 6.4 cases.  Ghana: the district of Sissala-West surpassed the epidemic threshold with an attack rate of 6.3.  Chad: 2 districts have surpassed the epidemic threshold: Moundou with an AR of 11.2 and Laokassy, with an AR of 15.0 case per 100 000 inhabitants. Note that Laokassy was in epidemic threshold since week 2.","[0, 15, 1, 12, 22]"
15,2011-01-03,15,0.0,"Burkina Faso: The district of Sapone is in alert with an attack rate of 5.3 cases per 100 000 inhabitants. The 3 CSF analyzed by the district laboratory revealed: 01 Gram Negative Bacillus (GNB) et 02 Gram Positive Diplococcus.  Ghana: the district of Lawra is in alert with an attack rate of 5.8 cases per 100 000 inhabitants. Chad: the district of Goundi is in alerte with an attack rate of 6.9 cases per 100 000 inhabitants. Out of 15 CSF samples, 12 pneumo were identified and 3 negative CSF.  Togo: the district of East-Mono is in alert with an attack rate of 7.7 cases per 100 000 Inhabitants.Burkina Faso : The district of Lena is in alert with an attack rate of 5.0. The 2 CSFs analysed by the laboratory are negative. Chad: The district of Laokassy has surpassed the epidemic threshold with an attack rate of 22.7 cases per 100 000 inhabitants. 14 NmA were identified out of the 27 CSF samples collected.Burkina Faso: The district of Sapone surpassed again the epidemic threshold with an attack rate of 6.4 cases.  Ghana: the district of Sissala-West surpassed the epidemic threshold with an attack rate of 6.3.  Chad: 2 districts have surpassed the epidemic threshold: Moundou with an AR of 11.2 and Laokassy, with an AR of 15.0 case per 100 000 inhabitants. Note that Laokassy was in epidemic threshold since week 2.","[0, 3, 14, 22]"
22,2011-01-03,253,17.0,"Burkina Faso: The district of Sapone is in alert with an attack rate of 5.3 cases per 100 000 inhabitants. The 3 CSF analyzed by the district laboratory revealed: 01 Gram Negative Bacillus (GNB) et 02 Gram Positive Diplococcus.  Ghana: the district of Lawra is in alert with an attack rate of 5.8 cases per 100 000 inhabitants. Chad: the district of Goundi is in alerte with an attack rate of 6.9 cases per 100 000 inhabitants. Out of 15 CSF samples, 12 pneumo were identified and 3 negative CSF.  Togo: the district of East-Mono is in alert with an attack rate of 7.7 cases per 100 000 Inhabitants.Burkina Faso : The district of Lena is in alert with an attack rate of 5.0. The 2 CSFs analysed by the laboratory are negative. Chad: The district of Laokassy has surpassed the epidemic threshold with an attack rate of 22.7 cases per 100 000 inhabitants. 14 NmA were identified out of the 27 CSF samples collected.Burkina Faso: The district of Sapone is in alert threshold with an AR of 5.3 cases per 100 000 inhabitants. Out of the 05 CSF samples obtained by the district, 4 are positive by latex (01 NmA and 03 Spn) and 1 negative. The case of NmA is under investigation. Chad: The district of Laokassy is still in epidemic threshold with an attack rate of 19.8 cases per 100 000 inhabitants. Niger: 1 case of NmA was identified in the districts of Tillaberi in an 11 years old person non vaccinated by “MenAfriVac”.Burkina Faso: The district of Sapone surpassed again the epidemic threshold with an attack rate of 6.4 cases.  Ghana: the district of Sissala-West surpassed the epidemic threshold with an attack rate of 6.3.  Chad: 2 districts have surpassed the epidemic threshold: Moundou with an AR of 11.2 and Laokassy, with an AR of 15.0 case per 100 000 inhabitants. Note that Laokassy was in epidemic threshold since week 2.","[19, 4, 3, 14, 15]"
23,2011-01-03,76,12.0,"Burkina Faso: The district of Sapone is in alert with an attack rate of 5.3 cases per 100 000 inhabitants. The 3 CSF analyzed by the district laboratory revealed: 01 Gram Negative Bacillus (GNB) et 02 Gram Positive Diplococcus.  Ghana: the district of Lawra is in alert with an attack rate of 5.8 cases per 100 000 inhabitants. Chad: the district of Goundi is in alerte with an attack rate of 6.9 cases per 100 000 inhabitants. Out of 15 CSF samples, 12 pneumo were identified and 3 negative CSF.  Togo: the district of East-Mono is in alert with an attack rate of 7.7 cases per 100 000 Inhabitants.Burkina Faso : The district of Lena is in alert with an attack rate of 5.0. The 2 CSFs analysed by the laboratory are negative. Chad: The district of Laokassy has surpassed the epidemic threshold with an attack rate of 22.7 cases per 100 000 inhabitants. 14 NmA were identified out of the 27 CSF samples collected.Burkina Faso: The district of Sapone is in alert threshold with an AR of 5.3 cases per 100 000 inhabitants. Out of the 05 CSF samples obtained by the district, 4 are positive by latex (01 NmA and 03 Spn) and 1 negative. The case of NmA is under investigation. Chad: The district of Laokassy is still in epidemic threshold with an attack rate of 19.8 cases per 100 000 inhabitants. Niger: 1 case of NmA was identified in the districts of Tillaberi in an 11 years old person non vaccinated by “MenAfriVac”.No district is reported in epidemic threshold among countries that reported data this week. Between week 1 and 4, Burkina Faso reported 2 cases of meningitis caused by NmA:  1 case in a 4 years old children, non vaccinated, in the district of Saponé. 1 case in a 10 years old, vaccinated with MenAfriVac on 10 December 2010 in the district of Sapouy (investigation underway).","[7, 1, 0, 8]"
16,2011-01-03,181,13.0,"Burkina Faso: The district of Sapone surpassed again the epidemic threshold with an attack rate of 6.4 cases.  Ghana: the district of Sissala-West surpassed the epidemic threshold with an attack rate of 6.3.  Chad: 2 districts have surpassed the epidemic threshold: Moundou with an AR of 11.2 and Laokassy, with an AR of 15.0 case per 100 000 inhabitants. Note that Laokassy was in epidemic threshold since week 2.","[2, 4, 18, 21, 24]"
0,2011-02-07,40,8.0,"Burkina Faso: The district of Sapone is still in alert threshold with an AR of 5.3. The district of Segenega crossed the alert threshold with an AR of 6.0 cases per 100 000 inhabitants.  Ghana: The district of Sissala-West is still in alert with an AR of 6.1. The district of Nadowli crossed the alert threshold with an AR of 6.1 cases per 100 000 inhabitants.  Chad: 2 districts are in epidemic threshold: Melfi with an AR of 25.8 cases and Laokassy which is in epidemic since 5 consecutive weeks, with an AR of 17.4 cases per 100 000 inhabitants for the current week.. Togo: The district of East-Mono is in alert threshold with an AR of 8.8 cases per 100 000 inhabitants.Niger: The district of Tillabéri is in alert threshold with an AR of 7.4 cases per 100 000 inhabitants. NmW135 is identified. Note that this district has been vaccinated with the new MenAfriVac conjugate vaccine in December 2010.  Chad: o 4 districts are in epidemic threshold: Melfi with an AR of 33.2; Laokassy which is in epidemic for 6 consecutive weeks with an AR of 26.6; Benoye with an AR of 12.3; Moundou with an AR of 17.2 cases per 100 000 inhabitants. o 3 districts in alert threshold: Bousso with an AR of 5.2; Goundi with an AR of 7.9; Kelo with an AR of 6.5 cases per 100 000 inhabitants. Burkina Faso: 1 case of NmA has been confirmed by PCR in a 17 years old female, non-vaccinated with MenAfriVac, in the district of Banfora.Burkina Faso: 2 districts reached the epidemic threshold: Pama with an AR of 11.7 cases and Karangasso-Vigue with an AR of 11.0 cases per 100 000 inhabitants. 1 district reached the alert threshold: Lena with an AR of 6.7 cases per 100 000 inhabitants.   Niger: The district of Tillabéri remains in high alert with an AR of 9.1 cases per 100 000 inhabitants. Chad: 5 districts are in epidemic threshold: Melfi with an AR of 14.7; Laokassy which is in epidemic for 7 consecutive weeks with an AR of 21.3; Benoye with an AR of 20.9; Kelo with an AR of 12.0 cases and Moundou with an AR of 15.1 cases per 100 000 inhabitants. 2 districts in alert threshold: Bousso with an AR of 5.7 and Sarh with an AR of 9.0 cases per 100 000 inhabitants.Burkina Faso: 2 districts reached the epidemic threshold: Pama with an AR of 14.9 cases and Karangasso-Vigue with an AR of 13.2 cases per 100 000 inhabitants.  Ghana: 3 districts in alert threshold: Kassena-Nakana with an AR of 7.4 cases; Sissala-East with an AR of 5.6 cases and SissalaWest with an AR of 8.4 cases per 100 000 inhabitants.  Niger: The district of Tillabéri remains in alert with an AR of 5.6 cases per 100 000 inhabitants.  Chad: 6 districts are in epidemic threshold: Melfi with an AR of 14.7; Laokassy remains in epidemic with an AR of 11.1; Benoye with an AR of 20.9; Kelo with an AR of 33.2 cases ; Moundou with an AR of 18.5 cases and Goundi with an AR of 17.7 cases per 100 000 inhabitants. 1 district in alert threshold: Sarh with an AR of 7.9 cases per 100 000 inhabitants.","[23, 15, 14, 1]"
1,2011-02-07,676,125.0,"Burkina Faso: The district of Sapone is still in alert threshold with an AR of 5.3. The district of Segenega crossed the alert threshold with an AR of 6.0 cases per 100 000 inhabitants.  Ghana: The district of Sissala-West is still in alert with an AR of 6.1. The district of Nadowli crossed the alert threshold with an AR of 6.1 cases per 100 000 inhabitants.  Chad: 2 districts are in epidemic threshold: Melfi with an AR of 25.8 cases and Laokassy which is in epidemic since 5 consecutive weeks, with an AR of 17.4 cases per 100 000 inhabitants for the current week.. Togo: The district of East-Mono is in alert threshold with an AR of 8.8 cases per 100 000 inhabitants.Niger: The district of Tillabéri is in alert threshold with an AR of 7.4 cases per 100 000 inhabitants. NmW135 is identified. Note that this district has been vaccinated with the new MenAfriVac conjugate vaccine in December 2010.  Chad: o 4 districts are in epidemic threshold: Melfi with an AR of 33.2; Laokassy which is in epidemic for 6 consecutive weeks with an AR of 26.6; Benoye with an AR of 12.3; Moundou with an AR of 17.2 cases per 100 000 inhabitants. o 3 districts in alert threshold: Bousso with an AR of 5.2; Goundi with an AR of 7.9; Kelo with an AR of 6.5 cases per 100 000 inhabitants. Burkina Faso: 1 case of NmA has been confirmed by PCR in a 17 years old female, non-vaccinated with MenAfriVac, in the district of Banfora.Burkina Faso: 2 districts reached the epidemic threshold: Pama with an AR of 11.7 cases and Karangasso-Vigue with an AR of 11.0 cases per 100 000 inhabitants. 1 district reached the alert threshold: Lena with an AR of 6.7 cases per 100 000 inhabitants.   Niger: The district of Tillabéri remains in high alert with an AR of 9.1 cases per 100 000 inhabitants. Chad: 5 districts are in epidemic threshold: Melfi with an AR of 14.7; Laokassy which is in epidemic for 7 consecutive weeks with an AR of 21.3; Benoye with an AR of 20.9; Kelo with an AR of 12.0 cases and Moundou with an AR of 15.1 cases per 100 000 inhabitants. 2 districts in alert threshold: Bousso with an AR of 5.7 and Sarh with an AR of 9.0 cases per 100 000 inhabitants.Burkina Faso: 2 districts reached the epidemic threshold: Pama with an AR of 14.9 cases and Karangasso-Vigue with an AR of 13.2 cases per 100 000 inhabitants.  Ghana: 3 districts in alert threshold: Kassena-Nakana with an AR of 7.4 cases; Sissala-East with an AR of 5.6 cases and SissalaWest with an AR of 8.4 cases per 100 000 inhabitants.  Niger: The district of Tillabéri remains in alert with an AR of 5.6 cases per 100 000 inhabitants.  Chad: 6 districts are in epidemic threshold: Melfi with an AR of 14.7; Laokassy remains in epidemic with an AR of 11.1; Benoye with an AR of 20.9; Kelo with an AR of 33.2 cases ; Moundou with an AR of 18.5 cases and Goundi with an AR of 17.7 cases per 100 000 inhabitants. 1 district in alert threshold: Sarh with an AR of 7.9 cases per 100 000 inhabitants.","[12, 14, 0, 23, 7, 5]"
